SpitefulAgent Spiteful@192.168.122.1:1099/JADE is ready.
RandomAgent random1@192.168.122.1:1099/JADE is ready.
RandomAgent random2@192.168.122.1:1099/JADE is ready.
TFTAgent TFT@192.168.122.1:1099/JADE is ready.
Pavlov1 0
Pavlov2 1
TFT 2
random2 3
random1 4
Spiteful 5
PSI17 6
TFT@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
TFT@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFT@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#C
random1@192.168.122.1:1099/JADE sent Action#C
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random2@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#D
Spiteful@192.168.122.1:1099/JADE sent Action#D
random1@192.168.122.1:1099/JADE sent Action#C
Spiteful@192.168.122.1:1099/JADE sent Action#D
TFTAgent TFT@192.168.122.1:1099/JADE is ready.
RandomAgent random2@192.168.122.1:1099/JADE is ready.
SpitefulAgent Spiteful@192.168.122.1:1099/JADE is ready.
TFTAgent TFT@192.168.122.1:1099/JADE is ready.
RandomAgent random2@192.168.122.1:1099/JADE is ready.
SpitefulAgent Spiteful@192.168.122.1:1099/JADE is ready.
Pavlov2 0
Pavlov1 1
TFT 2
random2 3
Spiteful 4
PSI17 5
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
TFTAgent TFT@192.168.122.1:1099/JADE is ready.
RandomAgent random2@192.168.122.1:1099/JADE is ready.
SpitefulAgent Spiteful@192.168.122.1:1099/JADE is ready.
Pavlov2 0
Pavlov1 1
TFT 2
random2 3
Spiteful 4
PSI17 5
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
TFTAgent TFT@192.168.122.1:1099/JADE is ready.
SpitefulAgent Spiteful@192.168.122.1:1099/JADE is ready.
RandomAgent random2@192.168.122.1:1099/JADE is ready.
Pavlov2 0
Pavlov1 1
TFT 2
random2 3
Spiteful 4
PSI17 5
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
RandomAgent random2@192.168.122.1:1099/JADE is ready.
TFTAgent TFT@192.168.122.1:1099/JADE is ready.
SpitefulAgent Spiteful@192.168.122.1:1099/JADE is ready.
Pavlov1 0
Pavlov2 1
TFT 2
random2 3
Spiteful 4
PSI17 5
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
Pavlov2@192.168.122.1:1099/JADE sent Action#C
Pavlov1@192.168.122.1:1099/JADE sent Action#C
